diet/losing weight by any method (e.g. exercise),ダイエット/ダイエット
normal-sized portion/normal serving,普通盛り/普通盛/ふつうもり
injury (to animate object)/hurt,怪我/けが
olden days/former,昔/むかし
to be born,生まれる/産まれる/生れる/産れる/うまれる
figure/body shape,体型/体形/たいけい
inverted triangle,逆三角形/逆三角形/ぎゃくさんかくけい
to long for/to yearn after,憧れる/憬れる/憧憬れる/あこがれる
prawn/shrimp,海老/蝦/蛯/鰕/えび
nodding off (while sitting)/dozing,居眠り/いねむり
all/completely,すっかり/すっかり
to break/to destroy,壊す/毀す/こわす
pillar/post,柱/はしら
termite/white ant,白蟻/白あり/白アリ/しろあり
middle-aged man/Buddhist priest,おっさん/おっさん
figure/body shape,体型/体形/たいけい
in the first place/to begin with,抑/抑々/抑抑/抑も/そもそも
origin/source,由来/ゆらい
theory/doctrine,説/せつ
exploration/expedition,探検/探険/たんけん
plump/fat,太った/肥った/ふとった
as (i.e. in the role of)/for (i.e. from the viewpoint of),として/として
to spread/to be propagated,広まる/弘まる/ひろまる
to be dented/to be indented,凹む/へこむ
society/the world,世の中/よのなか
nap (afternoon)/siesta,昼寝/昼寐/ひるね
becoming stereotyped/getting stuck in a rut,マンネリ/マンネリ
hot bath/warm bath,温浴/おんよく
chance/start,切っ掛け/切掛け/切っかけ/切掛/切っ掛/切かけ/きっかけ
if only (you) have/as long as (you) have,さえあれば/さえあれば
tightly (holding on)/firmly,確り/聢り/しっかり
(act of) encouragement/stimulus,励み/はげみ
reaction/response,反応/反応/はんのう
round-faced/bulging at the bottom,下膨れ/下ぶくれ/下脹れ/しもぶくれ
to aim at/to have an eye on,目指す/目差す/目ざす/めざす
recently/lately,ここん所/此処ん所/ここんとこ
mark/objective,目標/もくひょう
first of all/at once,取りあえず/取り敢えず/取敢えず/とりあえず
success/hit,成功/せいこう
reward/prize,ご褒美/ごほうび
to glide/to slide (e.g. on skis),滑る/辷る/すべる
scheme/device,工夫/功夫/くふう
becoming stereotyped/getting stuck in a rut,マンネリ/マンネリ
first ski of the season/first ski run,初滑り/初すべり/はつすべり
to stick/to get stuck,閊える/閊える/支える/支える/つかえる
something to think about/one's thoughts,考え事/考えごと/かんがえごと
