becoming a pupil (of)/becoming an apprentice,弟子入り/でしいり
usual/normal,普段/ふだん
everyone/anyone,誰しも/誰しも/だれしも
shady/underhanded,後ろ暗い/後ろぐらい/うしろ暗い/うしろぐらい
disreputable/scandalous,人聞きの悪い/ひとぎきのわるい
settlement/conclusion,纏め/まとめ
to mutter/to tweet (Twitter),呟く/つぶやく
street corner,街角/町角/まちかど
to stand (still) a while/to loiter,佇む/彳む/たたずむ
to save/to leave over,余す/剰す/あます
significant/useful,有意義/ゆういぎ
experienced/practiced,慣れた/なれた
roasting (e.g. of coffee),焙煎/ばいせん
master/teacher,師匠/ししょう
envious/jealous,羨ましい/うらやましい
irresponsible/perfunctory,いい加減/好い加減/好加減/いいかげん
immediate reply,即答/そくとう
boasting/bragging,法螺/ほら
threat/intimidation,威嚇/いかく
dropping out/falling behind,脱落/だつらく
to want/to wish for,求める/もとめる
near oneself/close to one,身近/みぢか
to beg/to ask,請う/乞う/こう
unwillingly/grudgingly,嫌々/嫌嫌/厭々/厭厭/いやいや
declining/nonacceptance,お断わり/御断わり/お断り/おことわり
to make (tea - coffee - etc.)/to brew a beverage (with hot water),淹れる/いれる
feeble joke/bad pun,駄洒落/駄じゃれ/駄酒落/だじゃれ
interest (in something)/curiosity (about something),興味/きょうみ
to feel down/to feel sad,落ち込む/落込む/落ちこむ/おちこむ
pursuit of knowledge/studying,修業/修業/しゅうぎょう
to be taught/to learn,教わる/おそわる
sluggishly/endlessly,だらだら/だらだら
with pleasure ...,喜んで/悦んで/よろこんで
leaf/blade (of grass),葉っぱ/はっぱ
above ground/on the ground,地上/ちじょう
fifth day of the month/five days,五日/５日/いつか
imitating/copying,真似/まね
declaration/indication,表明/ひょうめい
determination/resolution,決心/けっしん
to hold or carry under or in the arms/to have (esp. problems - debts - etc.),抱える/かかえる
full of (e.g. mistakes)/riddled with,だらけ/だらけ
