joint party (e.g. by students from several colleges)/combined party,合コン/ごうコン
to be delighted/to be glad,喜ぶ/悦ぶ/歓ぶ/慶ぶ/欣ぶ/よろこぶ
set meal/special (of the day),定食/ていしょく
going back to sleep (e.g. after waking up in the morning),二度寝/２度寝/にどね
in one go/all at once,まとめて/まとめて
on the way/en route,途中/とちゅう
usual/normal,普段/ふだん
main question/real issue at hand,本題/ほんだい
elementary school student/primary school student,小学生/しょうがくせい
organization/organisation,団体/だんたい
rather than,と言うより/というより
single word/a few words,一言/ひと言/一言/一言/ひとこと
woman/female,女性/女性/じょせい
to talk/to chat,喋る/しゃべる
childish prank/mischief,おいた/おいた
cleaning/sweeping,掃除/そうじ
arbitrarily/of its own accord,勝手に/かってに
to refuse/to reject,断る/断わる/ことわる
man/male,男性/だんせい
friend,友人/ゆうじん
versus,対/つい
voice/singing (of a bird),声/聲/こえ
to be found/to be discovered,見つかる/見付かる/みつかる
in short/in a word,要するに/ようするに
making do/getting by (somehow),やり繰り/遣り繰り/やりくり
to enjoy (oneself),楽しむ/愉しむ/楽む/たのしむ
